iter	Passed	Remaining
398	307621	77869
399	308417	77104
400	309190	76333
401	310030	75579
402	310778	74802
403	311596	74042
404	312468	73295
405	313284	72533
406	313965	71741
407	314741	70971
408	315516	70200
409	316169	69403
410	316927	68628
411	317608	67838
412	318378	67067
413	319169	66300
414	320036	65549
415	320911	64799
416	321651	64021
417	322505	63266
418	323339	62507
419	324044	61722
420	324836	60954
421	325685	60197
422	326375	59411
423	327187	58646
424	327872	57859
425	328622	57084
426	329431	56319
427	330178	55543
428	330955	54773
429	331775	54009
430	332574	53242
431	333330	52468
432	334099	51696
433	334783	50911
434	335505	50133
435	336331	49369
436	337049	48590
437	337813	47818
438	338539	47040
439	339367	46277
440	340101	45501
441	340906	44734
442	341710	43967
443	342525	43201
444	343212	42419
445	343980	41647
446	344707	40871
447	345456	40097
448	346135	39316
449	346895	38543
450	347628	37768
451	348366	36994
452	349103	36220
453	349886	35451
454	350567	34671
455	351373	33904
456	352152	33134
457	352936	32365
458	353825	31605
459	354592	30834
460	355370	30063
461	356105	29290
462	356878	28519
463	357605	27745
464	358395	26976
465	359105	26200
466	359927	25433
467	360725	24665
468	361470	23892
469	362239	23121
470	362948	22347
471	363684	21574
472	364546	20809
473	365237	20034
474	365984	19262
475	366789	18493
476	367527	17721
477	368320	16951
478	369130	16183
479	369912	15413
480	370732	14644
481	371574	13876
482	372317	13104
483	373041	12331
484	373835	11561
485	374611	10791
486	375330	10019
487	376118	9248
488	376846	8477
489	377623	7706
490	378387	6935
491	379120	6164
492	379914	5394
493	380774	4624
494	381554	3854
495	382253	3082
496	383081	2312
497	383754	1541
498	384549	770
499	385387	0
