iter	Logloss
230	0.246425755
231	0.2464187443
232	0.2464122972
233	0.2464072478
234	0.2464008149
235	0.2463972645
236	0.2463907126
237	0.2463831422
238	0.2463775799
239	0.2463704753
240	0.2463661664
241	0.2463596975
242	0.2463540087
243	0.2463454379
244	0.2463405583
245	0.2463331612
246	0.2463244278
247	0.2463194902
248	0.2463144878
249	0.2463112083
250	0.2463037823
251	0.2462989244
252	0.2462950887
253	0.2462894687
254	0.2462849935
255	0.2462770437
256	0.2462693505
257	0.2462609022
258	0.2462549397
259	0.2462356777
260	0.2462275763
261	0.2462231771
262	0.2462204176
263	0.2462162784
264	0.246213118
265	0.246208708
266	0.2462039837
267	0.2461973161
268	0.246189381
269	0.2461824318
270	0.2461748469
271	0.2461671139
272	0.2461597747
273	0.2461528184
274	0.2461476281
275	0.2461423079
276	0.2461382374
277	0.2461349253
278	0.246129652
279	0.2461236165
280	0.2461199036
281	0.2461126401
282	0.2461055104
283	0.246100295
284	0.2460939671
285	0.2460850783
286	0.246080553
287	0.2460759514
288	0.2460732208
289	0.246070772
290	0.2460618146
291	0.2460553638
292	0.2460502278
293	0.2460450918
294	0.2460406383
295	0.2460350327
296	0.2460312655
297	0.246023388
298	0.2460164676
299	0.2460062713
300	0.2460015831
301	0.2459974295
302	0.2459924054
303	0.2459857416
304	0.2459818372
305	0.2459728653
306	0.2459687694
307	0.2459635359
308	0.2459589885
309	0.2459516311
310	0.2459457547
311	0.2459404633
312	0.2459359341
313	0.2459296277
314	0.2459253296
315	0.245922144
316	0.2459177556
317	0.2459132372
318	0.2459075521
319	0.2458981033
320	0.2458906122
321	0.2458849886
322	0.2458805026
323	0.2458758361
324	0.245868439
325	0.2458640037
326	0.2458607819
327	0.2458510335
328	0.245843026
329	0.2458380669
330	0.2458327394
331	0.2458284305
332	0.2458241867
333	0.2458214414
334	0.2458152941
335	0.2458109273
336	0.2458074708
337	0.2458024106
338	0.245798257
339	0.2457926658
340	0.2457882954
341	0.2457837373
342	0.2457802482
343	0.2457769542
344	0.2457727789
345	0.2457687264
346	0.245766032
347	0.2457629763
348	0.2457585266
349	0.245752968
350	0.2457489335
351	0.2457416846
352	0.2457382496
353	0.245733901
354	0.2457303108
355	0.2457283712
356	0.2457248786
357	0.2457195511
358	0.2457165678
359	0.2457102403
360	0.2457040316
361	0.2456997805
362	0.2456965912
363	0.2456945433
364	0.2456867814
365	0.2456805979
366	0.2456750212
367	0.2456707375
368	0.2456676422
369	0.2456633044
370	0.2456580997
371	0.2456549212
372	0.2456486005
373	0.2456422689
374	0.245638527
375	0.2456332284
376	0.2456282043
377	0.2456208434
378	0.2456141651
379	0.2456090037
380	0.2456028635
381	0.2455968967
382	0.2455951088
383	0.2455905614
384	0.2455843707
385	0.2455792636
386	0.2455754206
387	0.2455727008
388	0.2455686701
389	0.2455639132
390	0.2455601099
391	0.2455585424
392	0.2455541973
393	0.2455492927
394	0.2455444456
395	0.245538067
396	0.245531916
397	0.2455291025
398	0.2455240675
399	0.2455198308
400	0.2455146225
401	0.2455087388
402	0.245506597
403	0.2455003485
404	0.245494165
405	0.2454903509
406	0.2454881441
407	0.245483976
408	0.2454791361
409	0.2454757879
410	0.2454709913
411	0.2454655663
412	0.2454618714
413	0.2454573494
414	0.2454530152
415	0.2454483776
416	0.2454446718
417	0.2454410708
418	0.2454356169
419	0.2454328141
420	0.2454255183
421	0.245421148
422	0.2454182766
423	0.2454136643
424	0.2454073363
425	0.2454051258
426	0.2453998561
427	0.2453968149
428	0.2453900102
429	0.2453856399
430	0.2453816018
431	0.2453768414
432	0.2453721495
433	0.2453681512
434	0.2453614837
435	0.2453562826
436	0.2453530247
437	0.2453494273
438	0.2453449811
439	0.2453417196
440	0.2453376743
441	0.2453260947
442	0.2453203664
443	0.2453168448
444	0.2453132835
445	0.2453085231
446	0.2453047776
447	0.2453002122
448	0.2452964559
449	0.2452924323
450	0.2452882136
451	0.2452839949
452	0.2452790033
453	0.2452761463
454	0.2452744957
455	0.2452690562
456	0.2452651734
457	0.2452618939
458	0.245257704
459	0.2452542655
460	0.2452513182
461	0.245247291
462	0.2452437261
463	0.2452401504
464	0.2452348735
465	0.2452328472
466	0.2452280724
467	0.2452243883
468	0.2452186131
469	0.2452155936
470	0.2452119564
471	0.245206293
472	0.245202497
473	0.2451993113
474	0.2451961112
475	0.2451914086
476	0.2451863847
477	0.2451816245
478	0.2451755132
479	0.245170937
480	0.2451667183
481	0.2451608924
482	0.2451575226
483	0.2451538709
484	0.2451500676
485	0.2451450399
486	0.245140926
487	0.2451354757
488	0.2451301771
489	0.2451270312
490	0.2451247413
491	0.2451200387
492	0.2451174128
493	0.2451118036
494	0.2451087552
495	0.2451057285
496	0.2450993282
497	0.245096204
498	0.2450928667
499	0.2450898002
