,precision,recall,auc,fit_time,predict_time
ind_ahor_fin_ult1,0.9999917984877948,0.9999909129774798,1.0,2.6226043701171875e-06,5.1175856590271
ind_aval_fin_ult1,0.9999798327659655,0.9764005697995836,0.9520846310846677,1.9073486328125e-06,5.204835414886475
ind_cco_fin_ult1,0.7361809070460277,0.7314029756969747,0.794568917993528,1.9073486328125e-06,5.3819968700408936
ind_cder_fin_ult1,0.9995930731192951,0.8521190936517196,0.9383041820487124,1.9073486328125e-06,5.734501600265503
ind_cno_fin_ult1,0.9361994325642782,0.753065139239148,0.8964409638525302,2.1457672119140625e-06,5.304681301116943
ind_ctju_fin_ult1,0.9984629827716912,0.9981207171997432,0.9998853782127332,1.9073486328125e-06,5.323059558868408
ind_ctma_fin_ult1,0.990379704659613,0.9401870541950023,0.9579745668436807,1.9073486328125e-06,6.007131576538086
ind_ctop_fin_ult1,0.9247296474961401,0.8145803872629369,0.9303822727204764,1.6689300537109375e-06,5.67572808265686
ind_ctpp_fin_ult1,0.96462651609989,0.8069027186640519,0.9136699231716984,2.1457672119140625e-06,5.289915561676025
ind_deco_fin_ult1,0.9995500718593059,0.8121625901995164,0.9114212834064453,1.430511474609375e-06,5.304836750030518
ind_deme_fin_ult1,0.9987055365208878,0.8257784116576979,0.9373986524649629,1.9073486328125e-06,5.340440511703491
ind_dela_fin_ult1,0.9676445057754461,0.7946516814453385,0.943738235440145,1.9073486328125e-06,5.291062831878662
ind_ecue_fin_ult1,0.9315045953082369,0.7802933204326461,0.9024906773784815,1.6689300537109375e-06,5.299952268600464
ind_fond_fin_ult1,0.9836453255906631,0.81091853354496,0.9360349835363113,1.9073486328125e-06,5.320453643798828
ind_hip_fin_ult1,0.9951130362183833,0.8775887196298726,0.9634837014119898,1.6689300537109375e-06,5.293564319610596
ind_plan_fin_ult1,0.9917750378636684,0.8272803666656858,0.9434324923125037,2.1457672119140625e-06,5.288863182067871
ind_pres_fin_ult1,0.9977078169156726,0.889052431254511,0.9749577837507154,2.1457672119140625e-06,5.315690755844116
ind_reca_fin_ult1,0.9522127088913537,0.770710838827376,0.8883578128647763,2.1457672119140625e-06,5.2829554080963135
ind_tjcr_fin_ult1,0.9659305404837227,0.7981363382241707,0.9187972390599933,1.9073486328125e-06,5.345070838928223
ind_valo_fin_ult1,0.976866729201058,0.8112153762806211,0.9281212293290494,1.6689300537109375e-06,5.247105836868286
ind_viv_fin_ult1,0.996541108241312,0.7992572873593459,0.9292205205441828,2.1457672119140625e-06,5.398658990859985
ind_nomina_ult1,0.9561056153693931,0.7457565768407278,0.9053539413477245,1.9073486328125e-06,5.343599319458008
ind_nom_pens_ult1,0.9522444807394449,0.7208739292458464,0.8950666764891368,2.1457672119140625e-06,5.367899656295776
ind_recibo_ult1,0.915207332414881,0.7803668820435242,0.9096622444169756,2.1457672119140625e-06,5.335364103317261
